file,section,title,date,slug,old_categories,old_tags,proposed_tags,needs_review
writing/2025-07-15-albania/index.html,writing,"A Week in Tirana, Albania",2025-07-15,albania,"travel, blog",,travel,YES
writing/2026-04-04-sainik-school-tilaiya/index.md,writing,Sainik School Tilaiya Made Me Who I Am,2026-04-04,sainik-school-tilaiya,"life, thoughts",,personal,YES
projects/2022-01-11-indiapin-r-data-package/index.md,projects,IndiaPIN: R Data Package,2022-01-11,IndiaPIN,"R, package",,"r, tools",
projects/2023-08-26-spotify-randomizer/index.md,projects,Spotify Randomizer,2023-08-26,spotify-randomizer,"coding, blog, life, thoughts",,tools,YES
projects/2024-07-08-talk-to-harshvardhan/index.md,projects,Talk to Harshvardhan,2024-07-08,talk-to-harshvardhan,"ai, blog, social",,ai,YES
projects/2024-07-30-turning-my-kindle-to-a-juggernaut/index.md,projects,Jailbreaking: Turning My Kindle to A Juggernaut E-Reader,2024-07-30,kindle,"book, coding",,"personal, tools",
projects/2025-02-16-textsage/index.md,projects,TextSage,2025-02-16,textsage,"coding, ai, tools","browser-extension, chrome, fact-checking","ai, browser-extension, chrome, fact-checking, tools",YES
projects/2026-02-20-kalam/index.md,projects,Kalam,2026-02-20,kalam,"coding, tools","macos, swift, speech-to-text, whisper","macos, speech-to-text, swift, tools, whisper",YES
projects/2026-03-20-good-sign-offs/index.md,projects,Good Sign-Offs / अच्छी विदाइयाँ,2026-03-20,good-sign-offs,"coding, life","hindi, email","email, hindi, tools",YES
projects/2026-03-24-webpage-to-md/index.md,projects,Page to Markdown,2026-03-24,webpage-to-md,"coding, tools","browser-extension, typescript, markdown","browser-extension, markdown, tools, typescript",YES
projects/2026-03-31-macchi-trash/index.md,projects,Macchi Trash,2026-03-31,macchi-trash,"coding, life","macos, swift, fun","fun, macos, swift, tools",YES
research/2019-01-31-statistical-modelling-and-analysis-of-the-computer-simulated-datasets/index.md,research,Statistical Modelling and Analysis of the Computer-Simulated Datasets,2019-01-31,statistical-modelling-and-analysis-of-the-computer-simulated-datasets,"publications, R, statistics",,"academia, data-science, r",
research/2020-12-20-dynamic-gp-application-to-malaria-vaccine-coverage-prediction/index.md,research,Dynamic GP: Application to Malaria Vaccine Coverage Prediction,2020-12-20,dynamic-gp-application-to-malaria-vaccine-coverage-prediction,"economics, publications, R",,"academia, economics, r",
research/2021-06-30-invento-robotics-launching-humanoid-robots/index.md,research,Invento Robotics: Launching Humanoid Robots,2021-06-30,invento-robotics-launching-humanoid-robots,"business, publications",,"academia, economics",
